tool	community	skew	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
sylph	sample0	low_skew	order	0.614304929533716	0.411764705882353	0.583333333333333	20	0	0.411764705882353	1.22860985906743	1	1.98924208776908	0.753769941049023	1	14	14
sylph	sample4	high_skew	order	0.124679300291545	0.894736842105263	0.944444444444444	2	0	0.894736842105263	0.24935860058309	1	2.70054781802635	0.953174890162017	1	17	17
sylph	sample4	low_skew	order	0.6	0.333333333333333	0.5	14	0	0.333333333333333	1.2	1	1.83371641420241	0.942343825634823	1	7	7
sylph	sample5	high_skew	order	0.0101673643156693	0.818181818181818	0.9	2	0	0.818181818181818	0.0203347286313386	1	0.890083453663907	0.40509443724819	1	9	9
sylph	sample5	low_skew	order	0.969865418373318	0.444444444444444	0.615384615384615	5	0	0.444444444444444	1.93973083674664	1	0.675049808210379	0.48694550532908	1	4	4
SingleM	sample0	high_skew	family	0.0281198033340149	1	0.984126984126984	0	1	0.96875	0.05482718715226	0.96875	2.50558107582124	0.722957878526508	0.956174727585548	32	31
SingleM	sample0	low_skew	family	0.136353025320891	0.96969696969697	0.914285714285714	1	5	0.842105263157895	0.243952574431941	0.864864864864865	2.42694148531885	0.672112062370766	0.865684575389948	37	32
SingleM	sample4	high_skew	family	0.0715583105088655	1	1	0	0	1	0.139047619047619	1	2.77528645679442	0.91156708927712	0.943137254901961	21	21
SingleM	sample4	low_skew	family	0.104187768736961	1	0.954545454545454	0	2	0.91304347826087	0.169655925723648	0.91304347826087	2.62972767505749	0.83869638849843	0.788367012561442	23	21
SingleM	sample5	high_skew	family	0.00773211639615608	0.75	0.857142857142857	3	0	0.75	0.0154256933182235	1	0.886027090480522	0.403248306804708	0.995015662968059	9	9
SingleM	sample5	low_skew	family	0.0490938212153727	0.8	0.666666666666667	2	6	0.5	0.0949701923051236	0.571428571428571	0.96421869103454	0.365364814251728	0.949823096569738	14	8
SingleM dev	sample0	high_skew	family	0.295159845215875	0.387096774193548	0.558139534883721	19	0	0.387096774193548	0.452870476061966	1	1.18416793829109	0.476544234928146	0.540726155028335	12	12
SingleM dev	sample0	low_skew	family	0.730477538984278	0.121212121212121	0.216216216216216	29	0	0.121212121212121	0.779614068561449	1	0.394291563203042	0.284421241448693	0.143826121398158	4	4
SingleM dev	sample4	high_skew	family	0.719679210363973	0.428571428571429	0.6	12	0	0.428571428571429	0.836992394891663	1	0.521904488916098	0.237528969182032	0.163007605108337	9	9
SingleM dev	sample4	low_skew	family	0.921697596116201	0.285714285714286	0.444444444444444	15	0	0.285714285714286	0.805772960638905	1	0.163039016312012	0.0909938075461961	0.0342270393610953	6	6
SingleM dev	sample5	high_skew	family	0.811249099957308	0.25	0.375	9	1	0.230769230769231	0.89709623094864	0.75	0.342566321402016	0.247109366531132	0.105820926021181	4	3
SingleM dev	sample5	low_skew	family	0.22330353350158	0.4	0.571428571428572	6	0	0.4	0.359475169595589	1	0.350689071445774	0.252968692134387	0.625164970837413	4	4
SingleM inject	sample0	high_skew	family	0.033202142138462	1	0.984126984126984	0	1	0.96875	0.0650525761675224	0.96875	2.53031320755064	0.730094063285831	0.965691896024465	32	31
SingleM inject	sample0	low_skew	family	0.137371283253787	0.96969696969697	0.914285714285714	1	5	0.842105263157895	0.245900899623985	0.864864864864865	2.4323128249972	0.673599589866071	0.866605690078467	37	32
SingleM inject	sample4	high_skew	family	0.0705498628950786	1	1	0	0	1	0.136949152542373	1	2.77159130547846	0.910353384536378	0.941168230844656	21	21
SingleM inject	sample4	low_skew	family	0.0990995177291782	1	0.954545454545454	0	2	0.91304347826087	0.163086166871501	0.91304347826087	2.67025455865275	0.851621586506887	0.805680731940462	23	21
SingleM inject	sample5	high_skew	family	0.00751787995037251	0.916666666666667	0.956521739130435	1	0	0.916666666666667	0.0150020854329881	1	0.890029916640988	0.371171304575914	0.99552074946937	11	11
SingleM inject	sample5	low_skew	family	0.0507279573844919	1	0.769230769230769	0	6	0.625	0.098217189794702	0.625	0.97765993366725	0.352616284494393	0.951514888445178	16	10
SingleM joint	sample0	high_skew	family	0.0438827382552004	0.967741935483871	0.983606557377049	1	0	0.967741935483871	0.087484479148585	1	2.6062455324826	0.76627294450313	1	30	30
SingleM joint	sample0	low_skew	family	0.152731049567407	0.878787878787879	0.878787878787879	4	4	0.783783783783784	0.293769038992664	0.878787878787879	2.64365001522741	0.756083025348479	1	33	29
SingleM joint	sample4	high_skew	family	0.0851386530843237	1	1	0	0	1	0.170277306168648	1	2.89886714742053	0.952158247054402	1	21	21
SingleM joint	sample4	low_skew	family	0.173460915600056	1	0.954545454545454	0	2	0.91304347826087	0.319168084704103	0.91304347826087	3.04470521405015	0.971044755427144	1	23	21
SingleM joint	sample5	high_skew	family	0.00883749664587041	0.833333333333333	0.909090909090909	2	0	0.833333333333333	0.0176749932917408	1	0.895750951217343	0.389019695273281	1	10	10
SingleM joint	sample5	low_skew	family	0.111408300496884	0.9	0.818181818181818	1	3	0.692307692307692	0.221105385143538	0.75	1.19048427752915	0.479086116828862	1	12	9
SingleM nnls	sample0	high_skew	family	0.0364070334078005	0.967741935483871	0.983606557377049	1	0	0.967741935483871	0.0725809391497831	1	2.58155822823065	0.759014528868375	1	30	30
SingleM nnls	sample0	low_skew	family	0.153811168334784	0.878787878787879	0.878787878787879	4	4	0.783783783783784	0.295846582839765	0.878787878787879	2.60559400574349	0.745199019289599	1	33	29
SingleM nnls	sample4	high_skew	family	0.101149425287356	1	1	0	0	1	0.202298850574713	1	2.87902195960637	0.945639921694645	1	21	21
SingleM nnls	sample4	low_skew	family	0.166666666666667	1	0.954545454545454	0	2	0.91304347826087	0.306666666666667	0.91304347826087	3.04882725422545	0.972359393532476	1	23	21
SingleM nnls	sample5	high_skew	family	0.0122797729479074	0.833333333333333	0.909090909090909	2	0	0.833333333333333	0.0245595458958149	1	0.883961636079159	0.383899660763349	1	10	10
SingleM nnls	sample5	low_skew	family	0.112179616101608	0.9	0.818181818181818	1	3	0.692307692307692	0.222636169053615	0.75	1.18413564706653	0.476531239983423	1	12	9
