tool,community,rank,metric,value
kraken,marine5,order,L1 norm error,0.353091717184261
kraken,marine5,family,L1 norm error,0.395252609720655
kraken,marine5,genus,L1 norm error,0.429889685262526
kraken,marine5,species,L1 norm error,0.557248860543288
kraken,marine5,na,Weighted UniFrac error,0.0191648687696904
kraken,marine5,na,Unweighted UniFrac error,6.40222503098012
kraken,marine5,na,Weighted UniFrac (CAMI),2.26570603059156
kraken,marine5,na,Unweighted UniFrac (CAMI),24453.92284
kraken,marine5,phylum,Sum of abundances,0.99993
kraken,marine5,class,Sum of abundances,0.999840000000001
kraken,marine5,order,Sum of abundances,0.999570000000003
kraken,marine5,family,Sum of abundances,0.999330000000004
kraken,marine5,genus,Sum of abundances,0.99681000000001
kraken,marine5,species,Sum of abundances,0.986570000000022
kraken,marine5,phylum,Taxon counts,49
kraken,marine5,class,Taxon counts,94
kraken,marine5,order,Taxon counts,185
kraken,marine5,family,Taxon counts,337
kraken,marine5,genus,Taxon counts,816
kraken,marine5,species,Taxon counts,3393
sourmash,marine5,kingdom,Bray-Curtis distance,0.00549038046915849
sourmash,marine5,phylum,Bray-Curtis distance,0.120307627271688
sourmash,marine5,class,Bray-Curtis distance,0.143528385872116
sourmash,marine5,order,Bray-Curtis distance,0.180327891332471
sourmash,marine5,family,Bray-Curtis distance,0.208601726445771
sourmash,marine5,genus,Bray-Curtis distance,0.25603938488802
sourmash,marine5,species,Bray-Curtis distance,0.321664066694157
sourmash,marine5,phylum,Shannon diversity,1.70381637080278
sourmash,marine5,phylum,Shannon equitability,0.516960165224557
sourmash,marine5,class,Shannon diversity,2.03691495843195
sourmash,marine5,class,Shannon equitability,0.572915766108885
sourmash,marine5,order,Shannon diversity,3.05709087218873
sourmash,marine5,order,Shannon equitability,0.717175804979901
sourmash,marine5,family,Shannon diversity,3.68691940345149
sourmash,marine5,family,Shannon equitability,0.778455430789921
sourmash,marine5,genus,Shannon diversity,4.24819593312237
sourmash,marine5,genus,Shannon equitability,0.81210241351799
sourmash,marine5,species,Shannon diversity,4.54895331429431
sourmash,marine5,species,Shannon equitability,0.812005860593295
sourmash,marine5,kingdom,True positives,2
sourmash,marine5,kingdom,False negatives,0
sourmash,marine5,kingdom,False positives,0
sourmash,marine5,kingdom,Completeness,1
sourmash,marine5,kingdom,Purity,1
sourmash,marine5,kingdom,F1 score,1
sourmash,marine5,kingdom,Jaccard index,1
sourmash,marine5,phylum,True positives,27
sourmash,marine5,phylum,False negatives,8
sourmash,marine5,phylum,False positives,0
sourmash,marine5,phylum,Completeness,0.771428571428571
sourmash,marine5,phylum,Purity,1
sourmash,marine5,phylum,F1 score,0.870967741935484
sourmash,marine5,phylum,Jaccard index,0.771428571428571
sourmash,marine5,class,True positives,35
sourmash,marine5,class,False negatives,18
sourmash,marine5,class,False positives,0
sourmash,marine5,class,Completeness,0.660377358490566
sourmash,marine5,class,Purity,1
sourmash,marine5,class,F1 score,0.795454545454545
sourmash,marine5,class,Jaccard index,0.660377358490566
sourmash,marine5,order,True positives,71
sourmash,marine5,order,False negatives,34
sourmash,marine5,order,False positives,0
sourmash,marine5,order,Completeness,0.676190476190476
sourmash,marine5,order,Purity,1
sourmash,marine5,order,F1 score,0.806818181818182
sourmash,marine5,order,Jaccard index,0.676190476190476
sourmash,marine5,family,True positives,114
sourmash,marine5,family,False negatives,61
sourmash,marine5,family,False positives,0
sourmash,marine5,family,Completeness,0.651428571428571
sourmash,marine5,family,Purity,1
sourmash,marine5,family,F1 score,0.788927335640138
sourmash,marine5,family,Jaccard index,0.651428571428571
sourmash,marine5,genus,True positives,187
sourmash,marine5,genus,False negatives,142
sourmash,marine5,genus,False positives,0
sourmash,marine5,genus,Completeness,0.56838905775076
sourmash,marine5,genus,Purity,1
sourmash,marine5,genus,F1 score,0.724806201550388
sourmash,marine5,genus,Jaccard index,0.56838905775076
sourmash,marine5,species,True positives,256
sourmash,marine5,species,False negatives,234
sourmash,marine5,species,False positives,15
sourmash,marine5,species,Completeness,0.522448979591837
sourmash,marine5,species,Purity,0.944649446494465
sourmash,marine5,species,F1 score,0.672798948751643
sourmash,marine5,species,Jaccard index,0.506930693069307
sourmash,marine5,kingdom,L1 norm error,0.010980760938317
sourmash,marine5,phylum,L1 norm error,0.240809927079415
sourmash,marine5,class,L1 norm error,0.286592278586069
sourmash,marine5,order,L1 norm error,0.358905026438413
sourmash,marine5,family,L1 norm error,0.415178193411487
sourmash,marine5,genus,L1 norm error,0.504621311963767
sourmash,marine5,species,L1 norm error,0.614701072436569
sourmash,marine5,na,Weighted UniFrac error,0.020005872957423
sourmash,marine5,na,Unweighted UniFrac error,0.397913372943999
sourmash,marine5,na,Weighted UniFrac (CAMI),2.43178857085404
sourmash,marine5,na,Unweighted UniFrac (CAMI),1612.19417475728
sourmash,marine5,phylum,Sum of abundances,1.00161812297735
sourmash,marine5,class,Sum of abundances,0.996763754045307
sourmash,marine5,order,Sum of abundances,0.990291262135922
sourmash,marine5,family,Sum of abundances,0.990291262135921
sourmash,marine5,genus,Sum of abundances,0.970873786407766
sourmash,marine5,species,Sum of abundances,0.911003236245953
sourmash,marine5,phylum,Taxon counts,27
sourmash,marine5,class,Taxon counts,35
sourmash,marine5,order,Taxon counts,71
sourmash,marine5,family,Taxon counts,114
sourmash,marine5,genus,Taxon counts,187
sourmash,marine5,species,Taxon counts,271
metabuli,marine5,kingdom,Bray-Curtis distance,0.00600168934351526
